Centre,CUPs,Estado,Comunidad,Provincia,Dirección Suministro,CP,Geo-Loaction,Energy Rating,Audit Status,Distribuidora Eléctrica,Cups Gas
Cádiz,ES0034111302895039FY,Alta,Andalucia,Cadíz,"Avda. De Andalucía, 52-54-56 (Bajos)",11008,"36.51822, -6.28394",C,Listo,Otra Distribuidora Local,
Córdoba,ES0031101306940001FH,Alta,Andalucia,Córdoba,"1º1, Av. de América, 7, Centro 
",14008,"37.89059, -4.78247",Pending Audit,No Data,e-distribución (Endesa),
Córdoba,ES0031101503429001WH,Alta,Andalucia,Córdoba,"DOCE DE OCTUBRE 21, ASPEYO, LOC",14001,,Pending Audit,No Data,e-distribución (Endesa),
Granada,ES0031103123767004KG,Alta,Andalucia,Granada,"CAMINO DE RONDA 172, PRINCESA-2, ASEPEYO",18003,"37.18083, -3.61217",Pending Audit,No Data,e-distribución (Endesa),
Huelva,ES0031102697072001WN,Alta,Andalucia,Huelva,AVENIDA ALEMANIA Nº0,21001,"37.25654, -6.95757",C,Listo,e-distribución (Endesa),
Jaén,ES0031101632371039CP,Alta,Andalucia,Jaén,"AV ANDALUCIA 11, BJO, Y",23005,"37.77706, -3.79243",E,Listo,e-distribución (Endesa),
Jerez de la Frontera,ES0031102010991014ZD,Alta,Andalucia,Cadíz,"LEALAS 43, BJO, Y",11404,"36.69057, -6.14278",D,Listo,e-distribución (Endesa),
Cogullada,ES0031300013926059MM,Alta,Aragon,Zaragoza,"AV CATALUÑA 102, CTRO ASIST.",50014,"41.66288, -0.86294",D,Listo,e-distribución (Endesa),
Málaga,ES0031104865918002TV,Alta,Andalucia,Málaga,"CALLE ESLAVA Nº14, LOCAL",29002,"36.71416, -4.43097",C,No Data,e-distribución (Endesa),
Marbella,ES0031103008385001BP,Alta,Andalucia,Málaga,"Avda.Severo Ochoa, 23",29600,"36.50894, -4.88065",D,Listo,e-distribución (Endesa),
Fuengirola,ES0031102992260002XX,Alta,Andalucia,Málaga,"AV SANTA AMALIA 0, EDIFICIO MIRAMAR PYA, E-009, AM",29640,"36.53132, -4.62757",Pending Audit,No Data,e-distribución (Endesa),
San Pedro Alcantara,ES0031103728733024EZ,Alta,Andalucia,Málaga,"UR CIUDAD JARDIN (C/ SANTA GEMA) 1, EDIFICIO MATRO",29670,"36.49086, -4.99143",Pending Audit,No Data,e-distribución (Endesa),
Pozoblanco,ES0405000000000277BE,Alta,Andalucia,Córdoba,CALLE C/ SAN CRISTOBAL 8 LOCAL BAJO esquina C/ ALM,14400,"38.37774, -4.85906",D,Listo,Distribuidora Local / Cooperativa,
Avilés,ES0026000000461823YE,Alta,Asturias,Asturias,AV SAN AGUSTIN 12 BAJO,33401,"43.55478, -5.92966",C,Listo,e-redes (EDP),
Gijón,ES0026000000459854JP,Alta,Asturias,Asturias,"CL ENRIQUE MARTINEZ 15 BAJO,1",33204,"43.53674, -5.65285",D,Listo,e-redes (EDP),
Oviedo,ES0026000000233295YE,Alta,Asturias,Asturias,"CL GENERAL ELORZA 28 BAJO,3",33001,"43.36629, -5.84367",E,Listo,e-redes (EDP),
Vilafranca del Panadès,ES0031408035080008ER,Alta,Catalunya,Barcelona,"Bisbe Panyelles, 17 - local 3",08720,"41.34383, 1.70197",D,Listo,e-distribución (Endesa),
Terrassa,ES0031408248171001XL,Alta,Catalunya,Barcelona,"COL.LEGI 6, LOCALS, LOC, LOCAL-1",08221,"41.56038, 2.01052",E,Listo,e-distribución (Endesa),
Getafe,ES0021000004371057KL,Alta,Madrid,Madrid,"San Vicente, 7",28901,"40.30703, -3.72591",E,Listo,i-DE (Iberdrola),
Lorca,ES0021000006069153EW,Alta,Murcia,Lorca,"Jerónimo Santa Fe, 39  Edificio San Jorge",30800,"37.66671, -1.70214",D,Listo,i-DE (Iberdrola),
Melilla,ES0134037588003562JG,Alta,Andalucia,Melilla,CL GENERAL MARINA No 13 B,52001,"35.29264, -2.9408",C,Listo,Gaselec (Melilla),
El Prat de Llobregat,ES0031408629899022NF,Alta,Catalunya,Barcelona,Plaça Mestre Estalella,08820,"41.323, 2.09393",D,Listo,e-distribución (Endesa),
Chamartin,ES0021000004948743EZ,Alta,Madrid,Madrid,"C/ ENRIQUE LARRETA, 10-1, Bajo",28036,"40.46812, -3.68638",C,Anulado,i-DE (Iberdrola),
Hospital Sevilla-La Cartuja,ES0031102811317001GX,Alta,Andalucia,Sevilla,"AMERICO VESPUCIO 0, PARCELA TA 22.1, MUTUA MEDICA",41092,"37.40305, -6.00844",Pending Audit,No Data,e-distribución (Endesa),ES0218030044933854KA
Hospital de Sant Cugat,ES0031405113447001MT,Alta,Catalunya,Barcelona,"AV ALCALDE BARNILS 0, EDIFICIO S/N ASEPEYO",08190,"41.48933, 2.07851",C,Listo,e-distribución (Endesa),ES0217901000014439PK
Hospital de Coslada,ES0022000005732417ZE,Alta,Madrid,Madrid,AV AVENIDA SAN PABLO 00031 AT CL IN IC,28820,"40.43619, -3.53148",D,Listo,UFD (Naturgy),"ES0237902000027300QY, ES0217901000011332BL"
